var1	var2	pvalues	correlations	r2vals	indicators	TP_rev_indicators	FP_rev_indicators	extreme_p	extreme_r	p_ratio	r2_ratio
Alpha Muricholic Acid	EAE Cummulative Score	0.003966065786906312	0.4233604837890509	0.17923409923409922	1.0	-1.0	-1.0	0.008837439800176474	0.3944254410803499	2.228263542514262	0.867978968489893
Beta Muricholic Acid	EAE Cummulative Score	0.007895084807946023	0.3898054556476103	0.1519482932526411	-1.0	-1.0	-1.0	0.017339346438478013	0.35785924761939486	2.1962204156473146	0.8428080261078776
Chenodeoxycholic Acid	EAE Cummulative Score	0.05273042230923142	0.28467342875470664	0.08103896103896104	0.0	0.0	0.0	1.0	0.0	18.964384433252146	0.0
Cholic Acid	EAE Cummulative Score	0.06992521130793378	0.265942039834351	0.07072516855125553	0.0	0.0	0.0	1.0	0.0	14.30099360867486	0.0
Deoxycholic Acid	EAE Cummulative Score	0.22447923958749938	0.21123147583502386	0.04461873638344227	0.0	0.0	0.0	1.0	0.0	4.454754933407602	0.0
Glycochenodeoxycholic Acid	EAE Cummulative Score	0.11585149752593014	-0.4225771273642583	0.17857142857142858	0.0	0.0	0.0	1.0	0.0	8.631739954644761	0.0
Glycocholic Acid	EAE Cummulative Score	0.5913604231256496	0.09665494296151862	0.009342177998894419	0.0	0.0	0.0	1.0	0.0	1.6910161060736464	0.0
Glycodeoxycholic Acid	EAE Cummulative Score	0.2432570801247762	0.17122295715362323	0.0293173010564315	0.0	0.0	0.0	1.0	0.0	4.110877264033015	0.0
Glycolithocholic Acid	EAE Cummulative Score	0.0013737069836892751	0.48207553909820544	0.2323968253968254	1.0	-1.0	-1.0	0.003625851925238008	0.4497859479042368	2.6394653068591776	0.8705256562204158
Glycoursodeoxycholic Acid	EAE Cummulative Score	0.5429970447975613	0.09163419338230351	0.008396825396825397	0.0	0.0	0.0	1.0	0.0	1.8416306489712433	0.0
Lithocholic Acid	EAE Cummulative Score	0.019570578365628272	0.3430679782428516	0.11769563769563772	0.0	0.0	0.0	1.0	0.0	51.09711022931729	0.0
Omega Muricholic Acid	EAE Cummulative Score	0.006806243416633675	0.3970915389307432	0.15768169029038595	-1.0	-1.0	-1.0	0.015002936480442727	0.36581167534427034	2.204290320234107	0.8486602443932636
Tauro Alpha Muricholic Acid	EAE Cummulative Score	0.022996408711504844	-0.37037555468977446	0.1371780515117581	0.0	0.0	0.0	1.0	0.0	43.48505075489075	0.0
Tauro Beta Muricholic Acid	EAE Cummulative Score	0.38487096531871334	-0.12750645745482583	0.01625789669267931	0.0	0.0	0.0	1.0	0.0	2.598273421773699	0.0
Taurochenodeoxycholic Acid	EAE Cummulative Score	0.214330689805302	-0.18248296715045298	0.033300033300033303	0.0	0.0	0.0	1.0	0.0	4.6656874053286534	0.0
Taurocholic Acid	EAE Cummulative Score	0.006806243416633675	-0.3970915389307432	0.15768169029038595	-1.0	-1.0	-1.0	0.02298527122134436	-0.34195439216964396	3.3770862742244874	0.7415750434230358
Taurodeoxycholic Acid	EAE Cummulative Score	0.8064959405073401	-0.0519524333466131	0.0026990553306342766	0.0	0.0	0.0	1.0	0.0	1.2399318456221031	0.0
Taurolithocholic Acid	EAE Cummulative Score	0.07375782894312327	0.2627754726966523	0.06905094905094906	0.0	0.0	0.0	1.0	0.0	13.557882794667506	0.0
Tauroursodeoxycholic Acid	EAE Cummulative Score	0.33291167507162067	0.14207862402109162	0.02018633540372671	0.0	0.0	0.0	1.0	0.0	3.003799730919217	0.0
Ursodeoxycholic Acid	EAE Cummulative Score	0.06609446353735535	0.2700747913826704	0.07294039294039292	0.0	0.0	0.0	1.0	0.0	15.129860301155464	0.0
