var1	var2	pvalues	correlations	r2vals	indicators	TP_rev_indicators	FP_rev_indicators	extreme_p	extreme_r	p_ratio	r2_ratio
Bacteria_Actinobacteriota_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Schaalia odontolytica	EAE Cummulative Score	0.2782850053348518	-0.18929799651846665	0.035833731485905414	0.0	0.0	0.0	1.0	0.0	3.5934383126274834	0.0
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium	EAE Cummulative Score	0.018084138408509986	-0.3742013362170692	0.14002664002664006	-1.0	-1.0	-1.0	0.060553720555291346	-0.3059785239896048	3.3484437680921606	0.6686074673008323
Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_Corynebacterium durum	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium	EAE Cummulative Score	0.13062346451822476	-0.25205574049995677	0.06353209631898155	0.0	0.0	0.0	1.0	0.0	7.655592382948001	0.0
Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Lawsonella_uncultured bacterium	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Dietziaceae_Dietzia	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Dermacoccaceae_Dermacoccus_Dermacoccus nishinomiyaensis	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Micrococcaceae_Micrococcus	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Micrococcaceae_Rothia	EAE Cummulative Score	0.8283361581413008	0.037859599303693335	0.0014333492594362169	0.0	0.0	0.0	1.0	0.0	1.2072393437996174	0.0
Bacteria_Actinobacteriota_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Cutibacterium	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Atopobiaceae_Coriobacteriaceae UCG-002_uncultured bacterium	EAE Cummulative Score	0.47035057902672006	-0.10681562655456713	0.011409578076244745	0.0	0.0	0.0	1.0	0.0	2.126073708826435	0.0
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella	EAE Cummulative Score	0.5311552738904797	-0.10826639239215337	0.011721611721611725	0.0	0.0	0.0	1.0	0.0	1.8826886395675564	0.0
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_uncultured bacterium	EAE Cummulative Score	0.10570666119552298	-0.2796881803463962	0.07822547822547825	0.0	0.0	0.0	1.0	0.0	9.460141761079038	0.0
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriales Incertae Sedis_uncultured_gut metagenome	EAE Cummulative Score	0.4035034904586934	0.13349163951355839	0.01782001782001782	0.0	0.0	0.0	1.0	0.0	2.4782933076073848	0.0
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Adlercreutzia	EAE Cummulative Score	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Enterorhabdus_uncultured bacterium	EAE Cummulative Score	0.13096412440265287	0.227404909554441	0.051712992889463495	0.0	0.0	0.0	1.0	0.0	7.635678889628369	0.0
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Parvibacter_uncultured bacterium	EAE Cummulative Score	0.2191703114159188	-0.21453772938759555	0.04602643733078518	0.0	0.0	0.0	1.0	0.0	4.562661765362477	0.0
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides massiliensis	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides plebeius	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides stercoris	EAE Cummulative Score	0.9168726281207317	0.01804439873202556	0.00032560032560032567	0.0	0.0	0.0	1.0	0.0	1.0906640348176282	0.0
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides vulgatus	EAE Cummulative Score	0.21046555236903797	-0.18731321892166	0.035086241982793726	0.0	0.0	0.0	1.0	0.0	4.751371370487098	0.0
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides	EAE Cummulative Score	0.04983718401316662	0.2878002896837497	0.08282900674205025	-1.0	-1.0	-1.0	0.0959086600627236	0.250001968403192	1.9244397925329253	0.7545784582460819
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella	EAE Cummulative Score	0.34754328902642706	-0.16239958858823006	0.026373626373626384	0.0	0.0	0.0	1.0	0.0	2.8773394036791786	0.0
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_uncultured bacterium	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter	EAE Cummulative Score	0.4265755063797231	0.13881853078020887	0.019270584487975796	0.0	0.0	0.0	1.0	0.0	2.344250865425531	0.0
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_Muribaculaceae	EAE Cummulative Score	0.41232913077679056	-0.12065833691238856	0.014558434266463468	0.0	0.0	0.0	1.0	0.0	2.4252470304877343	0.0
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_Muribaculaceae_uncultured bacterium	EAE Cummulative Score	0.04983718401316662	0.2878002896837497	0.08282900674205025	-1.0	-1.0	-1.0	0.10692653202465757	0.24206539797769386	2.1455171302698073	0.7074291869825325
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_Prevotellaceae bacterium	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Massiliprevotella massiliensis	EAE Cummulative Score	0.14829691721118093	0.25239732869128884	0.0637044115304985	0.0	0.0	0.0	1.0	0.0	6.743228509436637	0.0
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotella melaninogenica	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_gut metagenome	EAE Cummulative Score	0.8850603882141731	-0.025239732869128884	0.000637044115304985	0.0	0.0	0.0	1.0	0.0	1.1298664060852908	0.0
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella	EAE Cummulative Score	0.01852125995421088	-0.35282541098908515	0.12448577063961686	-1.0	-1.0	-1.0	0.05118247418222427	-0.2999015309564828	2.76344451234743	0.7224996705078761
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_uncultured	EAE Cummulative Score	0.2782850053348518	0.18929799651846665	0.035833731485905414	0.0	0.0	0.0	1.0	0.0	3.5934383126274834	0.0
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_uncultured_uncultured bacterium	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_Alistipes shahii	EAE Cummulative Score	0.12905171898020337	-0.2650171951258533	0.0702341137123746	0.0	0.0	0.0	1.0	0.0	7.748831305016562	0.0
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_uncultured Alistipes	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroides merdae	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae	EAE Cummulative Score	0.09643073420087814	-0.2902569279949822	0.08424908424908428	0.0	0.0	0.0	1.0	0.0	10.370137781144194	0.0
Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Weeksellaceae_Cloacibacterium	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Bacteroidota_Bacteroidia_Sphingobacteriales_Sphingobacteriaceae_Sphingobacterium	EAE Cummulative Score	0.2782850053348518	-0.18929799651846665	0.035833731485905414	0.0	0.0	0.0	1.0	0.0	3.5934383126274834	0.0
Bacteria_Deinococcota_Deinococci_Deinococcales_Deinococcaceae_Deinococcus_Deinococcus xinjiangensis	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Bilophila	EAE Cummulative Score	0.34741115316969706	-0.16405826364933776	0.02691511387163562	0.0	0.0	0.0	1.0	0.0	2.8784337833608302	0.0
Bacteria_Firmicutes_Bacilli_Acholeplasmatales_Acholeplasmataceae_Anaeroplasma_uncultured bacterium	EAE Cummulative Score	0.03483056567884992	0.3096585395331484	0.09588841110580244	-1.0	-1.0	-1.0	0.0858188112379394	0.25793853882869017	2.4638936969677454	0.6938512073129313
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus	EAE Cummulative Score	0.6721581815029289	-0.06261605694578073	0.003920770587437256	0.0	0.0	0.0	1.0	0.0	1.487745039068073	0.0
Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae_Erysipelatoclostridiaceae_uncultured bacterium	EAE Cummulative Score	0.1617800295586832	0.2301797809412463	0.05298273155416013	0.0	0.0	0.0	1.0	0.0	6.181232644893698	0.0
Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae_Erysipelatoclostridium	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_Erysipelotrichaceae_uncultured bacterium	EAE Cummulative Score	0.2454317822878037	0.1949117257830419	0.037990580847723714	0.0	0.0	0.0	1.0	0.0	4.074451933968998	0.0
Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_Faecalibaculum_uncultured bacterium	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_Holdemanella_uncultured bacterium	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_Turicibacter	EAE Cummulative Score	0.08669680695469234	0.2513698732680852	0.06318681318681321	0.0	0.0	0.0	1.0	0.0	11.534450173264155	0.0
Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_[Clostridium] innocuum group	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_uncultured_unidentified	EAE Cummulative Score	0.04512292049102695	0.3328863258460118	0.11081330593525714	-1.0	-1.0	-1.0	0.08316878796245417	0.2966613694559675	1.843160572441071	0.7942003659642538
Bacteria_Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Aerococcus	EAE Cummulative Score	0.12905171898020337	-0.2650171951258533	0.0702341137123746	0.0	0.0	0.0	1.0	0.0	7.748831305016562	0.0
Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus	EAE Cummulative Score	0.33291167507162067	-0.14207862402109162	0.02018633540372671	0.0	0.0	0.0	1.0	0.0	3.003799730919217	0.0
Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus fermentum	EAE Cummulative Score	0.22928803803941267	-0.1798206901647936	0.0323354806113427	0.0	0.0	0.0	1.0	0.0	4.361326515551188	0.0
Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus reuteri	EAE Cummulative Score	0.09643073420087814	-0.2902569279949822	0.08424908424908428	0.0	0.0	0.0	1.0	0.0	10.370137781144194	0.0
Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus ruminis	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus	EAE Cummulative Score	0.8815462230003264	-0.021897956058054356	0.00047952047952047947	0.0	0.0	0.0	1.0	0.0	1.134370466243413	0.0
Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Pediococcus	EAE Cummulative Score	0.9012070942367688	0.01821520820783226	0.0003317938100546797	0.0	0.0	0.0	1.0	0.0	1.1096228673686803	0.0
Bacteria_Firmicutes_Bacilli_Lactobacillales_Listeriaceae_Listeria	EAE Cummulative Score	0.4091137562405588	-0.12947046951675195	0.016762602476888197	0.0	0.0	0.0	1.0	0.0	2.4443079332976527	0.0
Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus salivarius	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Firmicutes_Bacilli_Lactobacillales	EAE Cummulative Score	0.2782850053348518	-0.18929799651846665	0.035833731485905414	0.0	0.0	0.0	1.0	0.0	3.5934383126274834	0.0
Bacteria_Firmicutes_Bacilli_RF39_RF39_RF39	EAE Cummulative Score	0.04694546529789207	0.29197274744072477	0.08524808524808525	-1.0	-1.0	-1.0	0.11267500160964393	0.2385690599332349	2.4001253559777416	0.6676419322709163
Bacteria_Firmicutes_Bacilli_RF39_RF39_RF39_uncultured bacterium	EAE Cummulative Score	0.01726434872580818	0.38414812136560883	0.14756977914872654	1.0	-1.0	-1.0	0.04545580951089264	0.3327201567424233	2.632929294514396	0.7501719074278226
Bacteria_Firmicutes_Bacilli_RF39_RF39_RF39_unidentified	EAE Cummulative Score	0.794142811196032	0.0451109968300639	0.0020350020350020353	0.0	0.0	0.0	1.0	0.0	1.2592193568987087	0.0
Bacteria_Firmicutes_Bacilli_Staphylococcales_Staphylococcaceae_Jeotgalicoccus	EAE Cummulative Score	0.23996246182021075	0.2011455703204534	0.04045954045954047	0.0	0.0	0.0	1.0	0.0	4.167318473125347	0.0
Bacteria_Firmicutes_Bacilli_Staphylococcales_Staphylococcaceae_Staphylococcus	EAE Cummulative Score	0.9208686425759076	-0.014598637372036238	0.00021312021312021312	0.0	0.0	0.0	1.0	0.0	1.0859312107780557	0.0
Bacteria_Firmicutes_Bacilli_Thermicanales_Thermicanaceae_Thermicanus_uncultured bacterium	EAE Cummulative Score	0.4265755063797231	-0.13881853078020887	0.019270584487975796	0.0	0.0	0.0	1.0	0.0	2.344250865425531	0.0
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_uncultured_uncultured bacterium	EAE Cummulative Score	0.015078686949441037	0.4038293133213914	0.1630781142976265	1.0	-1.0	-1.0	0.0465211507477238	0.34084497767281374	3.0852255838793923	0.7123904964510113
Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_Clostridia UCG-014_Clostridia UCG-014	EAE Cummulative Score	0.04905912508599693	0.3008179731855346	0.09049145299145302	-1.0	-1.0	-1.0	0.08523990870276671	0.2698476936677017	1.737493454140236	0.8046923258559621
Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_Clostridia UCG-014_Clostridia UCG-014_uncultured bacterium	EAE Cummulative Score	0.03143420867422243	0.3471217964147068	0.12049354154617316	-1.0	-1.0	-1.0	0.0856848796373096	0.28536123182074286	2.72584815241668	0.6758124259717883
Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_Clostridia UCG-014_Clostridia UCG-014_unidentified	EAE Cummulative Score	0.08458578701856437	0.2894143807081531	0.0837606837606838	0.0	0.0	0.0	1.0	0.0	11.822317143901802	0.0
Bacteria_Firmicutes_Clostridia_Clostridia vadinBB60 group_Clostridia vadinBB60 group_Clostridia vadinBB60 group_uncultured Clostridia	EAE Cummulative Score	0.9582262950367151	0.008142401908076356	6.629870883264549e-05	0.0	0.0	0.0	1.0	0.0	1.04359482220396	0.0
Bacteria_Firmicutes_Clostridia_Clostridia vadinBB60 group_Clostridia vadinBB60 group_Clostridia vadinBB60 group_uncultured bacterium	EAE Cummulative Score	0.44150924638617717	0.11293429088856	0.012754154058501886	0.0	0.0	0.0	1.0	0.0	2.264958227228892	0.0
Bacteria_Firmicutes_Clostridia_Clostridia vadinBB60 group_Clostridia vadinBB60 group_Clostridia vadinBB60 group_unidentified	EAE Cummulative Score	0.12990745977378113	-0.22222554013555354	0.04938419068853852	0.0	0.0	0.0	1.0	0.0	7.697787346018349	0.0
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium sensu stricto 1	EAE Cummulative Score	0.6545911549279226	0.06593406593406594	0.004347301050597754	0.0	0.0	0.0	1.0	0.0	1.5276711157365248	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Defluviitaleaceae_Defluviitaleaceae UCG-011_uncultured organism	EAE Cummulative Score	0.29848218662359793	0.1762110808202293	0.03105034500383338	0.0	0.0	0.0	1.0	0.0	3.350283684637615	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_A2	EAE Cummulative Score	0.9168726281207317	0.01804439873202556	0.00032560032560032567	0.0	0.0	0.0	1.0	0.0	1.0906640348176282	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_A2_uncultured bacterium	EAE Cummulative Score	0.06259611586191727	0.2732281231174839	0.07465360726230294	0.0	0.0	0.0	1.0	0.0	15.97543212115479	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_ASF356_uncultured bacterium	EAE Cummulative Score	0.2857122493824237	0.15665079058735742	0.02453947019164411	0.0	0.0	0.0	1.0	0.0	3.5000249452430987	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Acetatifactor	EAE Cummulative Score	0.1101375363567485	0.24834325819632885	0.061674373891568456	0.0	0.0	0.0	1.0	0.0	9.07955664416609	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Acetatifactor_uncultured bacterium	EAE Cummulative Score	0.8850603882141731	-0.025239732869128884	0.000637044115304985	0.0	0.0	0.0	1.0	0.0	1.1298664060852908	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_Lachnospiraceae bacterium	EAE Cummulative Score	0.017334447590616555	0.3876558697530536	0.15027707335399645	1.0	-1.0	-1.0	0.03976380247059655	0.3454973531774615	2.293918064751103	0.7943222368421051
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia	EAE Cummulative Score	0.6645266473013568	0.07571919860738667	0.0057333970377448674	0.0	0.0	0.0	1.0	0.0	1.504830549777049	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_unidentified	EAE Cummulative Score	0.05734604905829243	0.3189464603722504	0.10172684458398748	0.0	0.0	0.0	1.0	0.0	17.437992964144698	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea	EAE Cummulative Score	0.14829691721118093	0.25239732869128884	0.0637044115304985	0.0	0.0	0.0	1.0	0.0	6.743228509436637	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter	EAE Cummulative Score				0.0	0.0	0.0	1.0	0.0		
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_GCA-900066575_uncultured bacterium	EAE Cummulative Score	0.18165464940848608	0.2076312486559471	0.043110735418427734	0.0	0.0	0.0	1.0	0.0	5.504951308740268	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_Dorea sp.	EAE Cummulative Score	0.06118871906554283	0.3110577143151258	0.09675690163495042	0.0	0.0	0.0	1.0	0.0	16.34288174800393	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_[Clostridium] scindens	EAE Cummulative Score	0.08170808953388259	0.2979934375117828	0.0888000888000888	0.0	0.0	0.0	1.0	0.0	12.23869026561099	0.0
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium	EAE Cummulative Score	0.06587352434110184	0.27106227106227115	0.07347475479343617	0.0	0.0	0.0	1.0	0.0	15.180605713789769	0.0
