var1	var2	pvalues	correlations	r2vals	indicators	TP_rev_indicators	FP_rev_indicators	extreme_p	extreme_r	p_ratio	r2_ratio
3-Indolelactic Acid	Ampicillin EAE	0.7194444444444444	-0.2	0.04000000000000001	0.0	0.0	0.0	1.0	0.0	1.38996138996139	0.0
3-Indolelactic Acid	Control EAE	0.7194444444444444	0.2	0.04000000000000001	0.0	0.0	0.0	1.0	0.0	1.38996138996139	0.0
3-Indolelactic Acid	Vancomycin EAE	0.1361111111111111	-0.6	0.36	0.0	0.0	0.0	1.0	0.0	7.346938775510205	0.0
3-Indolepropionic Acid	Ampicillin EAE	0.2722222222222222	0.4666666666666666	0.21777777777777774	0.0	0.0	0.0	1.0	0.0	3.6734693877551026	0.0
3-Indolepropionic Acid	Control EAE	0.05555555555555555	-0.7333333333333333	0.5377777777777777	0.0	0.0	0.0	1.0	0.0	18.0	0.0
3-Indolepropionic Acid	Vancomycin EAE	0.2722222222222222	0.4666666666666666	0.21777777777777774	0.0	0.0	0.0	1.0	0.0	3.6734693877551026	0.0
3-Indoxyl Sulfate	Ampicillin EAE	0.7020563949269414	0.13801311186847084	0.01904761904761905	0.0	0.0	0.0	1.0	0.0	1.4243869968652072	0.0
3-Indoxyl Sulfate	Control EAE	0.7194444444444444	0.2	0.04000000000000001	0.0	0.0	0.0	1.0	0.0	1.38996138996139	0.0
3-Indoxyl Sulfate	Vancomycin EAE	0.1361111111111111	-0.6	0.36	0.0	0.0	0.0	1.0	0.0	7.346938775510205	0.0
4-Ethylphenyl Sulfate	Ampicillin EAE	1.0	0.06666666666666665	0.004444444444444443	0.0	0.0	0.0	1.0	0.0	1.0	0.0
4-Ethylphenyl Sulfate	Control EAE	0.7194444444444444	-0.2	0.04000000000000001	0.0	0.0	0.0	1.0	0.0	1.38996138996139	0.0
4-Ethylphenyl Sulfate	Vancomycin EAE	0.46944444444444444	-0.3333333333333333	0.1111111111111111	0.0	0.0	0.0	1.0	0.0	2.1301775147928996	0.0
Tryptophan	Ampicillin EAE	0.016666666666666666	0.8666666666666666	0.751111111111111	-1.0	-1.0	-1.0	0.08333333333333333	0.7999999999999999	5.0	0.8520710059171598
Tryptophan	Control EAE	0.7194444444444444	-0.2	0.04000000000000001	0.0	0.0	0.0	1.0	0.0	1.38996138996139	0.0
Tryptophan	Vancomycin EAE	0.46944444444444444	0.3333333333333333	0.1111111111111111	0.0	0.0	0.0	1.0	0.0	2.1301775147928996	0.0
p-Cresol Sulfate	Ampicillin EAE	0.7194444444444444	0.2	0.04000000000000001	0.0	0.0	0.0	1.0	0.0	1.38996138996139	0.0
p-Cresol Sulfate	Control EAE	0.7194444444444444	0.2	0.04000000000000001	0.0	0.0	0.0	1.0	0.0	1.38996138996139	0.0
p-Cresol Sulfate	Vancomycin EAE	0.46944444444444444	-0.3333333333333333	0.1111111111111111	0.0	0.0	0.0	1.0	0.0	2.1301775147928996	0.0
