index	count	name
0.0	3.0	Cttnbp2
1.0	1.0	Haao
2.0	4.0	Tubgcp3
3.0	3.0	Kcnn3
4.0	2.0	Dlg3
5.0	4.0	Gm38393
6.0	5.0	Kctd10
7.0	2.0	Ocrl
8.0	13.0	Ramp2
9.0	1.0	Hars
10.0	4.0	Mrpl10
11.0	1.0	Tubb6
12.0	1.0	Def8
13.0	1.0	Hoxc8
14.0	4.0	Nacc1
15.0	1.0	Tmem161a
16.0	1.0	Tchp
17.0	1.0	Scin
18.0	3.0	Ikzf4
19.0	24.0	Jag2
20.0	2.0	Relb
21.0	4.0	Cnot11
22.0	1.0	Keap1
23.0	6.0	Prodh
24.0	4.0	Homer3
25.0	0.0	Crtc1
26.0	3.0	Sec14l2
27.0	1.0	Coq8b
28.0	4.0	Il12b
29.0	0.0	Clcn5
30.0	3.0	Pde1c
31.0	0.0	Mettl17
32.0	2.0	Aqp1
33.0	1.0	Slc2a9
34.0	0.0	Dnah2
35.0	1.0	Prlr
36.0	2.0	Msh6
37.0	2.0	Insr
38.0	2.0	Kit
39.0	8.0	Tomm40l
40.0	1.0	Sh2d1a
41.0	0.0	Rfx5
42.0	3.0	Kctd20
43.0	7.0	Ctns
44.0	3.0	Zbtb17
45.0	3.0	Zdhhc24
46.0	2.0	Hfe
47.0	3.0	Abhd1
48.0	2.0	Slc5a6
49.0	3.0	Mrpl49
50.0	0.0	Prrg2
51.0	3.0	Prpf31
52.0	2.0	Ubqln4
53.0	3.0	Tmem184b
54.0	18.0	Elk1
55.0	1.0	Fpgs
56.0	2.0	G0s2
57.0	4.0	Tmem86a
58.0	5.0	Mettl16
59.0	2.0	Fsd1
60.0	3.0	Pigl
61.0	4.0	Tmem87b
62.0	10.0	Klra17
63.0	0.0	Mrps25
64.0	23.0	4931428F04Rik
65.0	5.0	Clic3
66.0	1.0	Magi1
67.0	4.0	Egfl8
68.0	1.0	Cacfd1
69.0	3.0	Zfp318
70.0	3.0	Srf
71.0	3.0	Lama5
72.0	3.0	Setdb1
73.0	2.0	Bola1
74.0	3.0	Skiv2l2
75.0	2.0	Acot8
76.0	1.0	Vtn
77.0	1.0	Nek8
78.0	0.0	Cd40
79.0	1.0	Ada
80.0	0.0	Slc12a4
81.0	0.0	Trove2
82.0	4.0	Cep95
83.0	7.0	8-Sep
84.0	1.0	Akap1
85.0	0.0	Appbp2
86.0	1.0	Cenpv
87.0	2.0	Elp5
88.0	2.0	Mief2
89.0	1.0	Cdk5rap3
90.0	13.0	Slc25a35
91.0	1.0	Wwc1
92.0	6.0	P4ha2
93.0	4.0	Isyna1
94.0	10.0	Ahr
95.0	6.0	Plscr3
96.0	3.0	Rab4a
97.0	1.0	Slc6a8
98.0	1.0	Akt3
99.0	3.0	Slc35e1
100.0	19.0	Calr3
101.0	3.0	Syne4
102.0	0.0	Katna1
103.0	5.0	1700021F05Rik
104.0	0.0	Crybg1
105.0	5.0	10-Sep
106.0	0.0	Myb
107.0	4.0	Ctgf
108.0	0.0	Cep83
109.0	3.0	Btbd11
110.0	3.0	Supv3l1
111.0	2.0	Thap2
112.0	3.0	Lgr5
113.0	17.0	Mdm1
114.0	1.0	Fzr1
115.0	2.0	Aldh1l2
116.0	0.0	Tpgs1
117.0	5.0	Wdpcp
118.0	1.0	Mgat1
119.0	2.0	Rufy1
120.0	4.0	Cdkl3
121.0	3.0	Kremen1
122.0	1.0	Nefh
123.0	24.0	Nipal4
124.0	2.0	Gatsl3
125.0	0.0	Efemp1
126.0	2.0	Zkscan17
127.0	5.0	Smg8
128.0	0.0	Elac2
129.0	2.0	Pctp
130.0	3.0	Hs1bp3
131.0	1.0	Mboat2
132.0	1.0	Adcy3
133.0	3.0	Lig3
134.0	2.0	Unk
135.0	1.0	Med31
136.0	6.0	Pld2
137.0	10.0	Nxn
138.0	1.0	Ctc1
139.0	1.0	Adprm
140.0	2.0	Tmem101
141.0	1.0	Plcd3
142.0	4.0	Dnaaf2
143.0	2.0	Ptpn21
144.0	1.0	Akap5
145.0	0.0	Sav1
146.0	3.0	Prkch
147.0	2.0	Snapc1
148.0	0.0	Rdh12
149.0	4.0	Smoc1
150.0	4.0	Pcnx
151.0	0.0	Nrde2
152.0	2.0	Pitrm1
153.0	3.0	Net1
154.0	5.0	Dpf3
155.0	1.0	Numb
156.0	2.0	Abcd4
157.0	1.0	Irf4
158.0	2.0	Exoc2
159.0	3.0	Kif13a
160.0	0.0	Nol8
161.0	2.0	Wrnip1
162.0	3.0	Aaed1
163.0	1.0	B4galt7
164.0	1.0	Cep72
165.0	2.0	Xrcc4
166.0	0.0	Cd180
167.0	3.0	Aggf1
168.0	2.0	Jmy
169.0	1.0	Srek1ip1
170.0	5.0	Mrps30
171.0	4.0	Kat6b
172.0	0.0	Mss51
173.0	2.0	Ppp3cb
174.0	4.0	Gpr65
175.0	3.0	Capn7
176.0	3.0	Bap1
177.0	12.0	Galnt15
178.0	4.0	Eef1akmt1
179.0	2.0	Pinx1
180.0	0.0	Atp8a2
181.0	4.0	Pibf1
182.0	2.0	Bora
183.0	1.0	Slc39a14
184.0	0.0	Med4
185.0	0.0	Uchl3
