index	count	name
0.0	0.0	Dlat
1.0	1.0	Btbd17
2.0	1.0	Mx1
3.0	0.0	Egfl6
4.0	0.0	Slc5a5
5.0	0.0	Kcnn3
6.0	0.0	B9d1
7.0	2.0	N4bp3
8.0	0.0	Ramp2
9.0	2.0	Gabrg1
10.0	1.0	Tubb6
11.0	0.0	Col1a1
12.0	0.0	Tcea3
13.0	0.0	Smo
14.0	1.0	Gria3
15.0	0.0	Spag5
16.0	1.0	Spi1
17.0	0.0	Ppm1j
18.0	2.0	Rhoc
19.0	2.0	Ncan
20.0	0.0	Scin
21.0	2.0	Gnmt
22.0	0.0	Ggct
23.0	2.0	Jag2
24.0	0.0	Cacnb3
25.0	0.0	Nqo1
26.0	2.0	Zfp81
27.0	2.0	Map3k20
28.0	0.0	Col5a3
29.0	2.0	Il12b
30.0	0.0	Pde1c
31.0	1.0	Large1
32.0	2.0	Zfp324
33.0	0.0	Arhgef40
34.0	0.0	Bcan
35.0	2.0	Dtx2
36.0	0.0	Hspb1
37.0	2.0	Slc1a2
38.0	0.0	Slc2a9
39.0	2.0	Prlr
40.0	0.0	Tbl2
41.0	1.0	Il27ra
42.0	0.0	Rfx5
43.0	0.0	Kctd20
44.0	0.0	Ephb3
45.0	0.0	Eps8l1
46.0	0.0	5430419D17Rik
47.0	2.0	Htra1
48.0	0.0	Kmt2b
49.0	1.0	Tmem110
50.0	0.0	Pole
51.0	2.0	Mrpl49
52.0	0.0	Ankrd26
53.0	2.0	Ift22
54.0	0.0	Clstn3
55.0	2.0	Scrn3
56.0	2.0	Slc16a12
57.0	0.0	Sardh
58.0	2.0	Vav2
59.0	0.0	Pifo
60.0	0.0	Tmem86a
61.0	3.0	Rnf170
62.0	0.0	Trpv4
63.0	0.0	Mertk
64.0	0.0	Klra17
65.0	2.0	Elmo3
66.0	2.0	4931428F04Rik
67.0	0.0	Casd1
68.0	0.0	Bola1
69.0	2.0	Fcgr1
70.0	0.0	E2f3
71.0	2.0	Cd34
72.0	0.0	Phf21b
73.0	0.0	Acot8
74.0	1.0	Mpp2
75.0	1.0	Plxdc1
