var1	var2	pvalues	correlations	r2vals	indicators	TP_rev_indicators	FP_rev_indicators	extreme_p	extreme_r	p_ratio	r2_ratio
3-Indolelactic Acid	Dlat	1.0	-0.06666666666666665	0.004444444444444443	0.0	0.0	0.0	1.0	0.0	1.0	0.0
3-Indolelactic Acid	Btbd17	1.0	0.06666666666666665	0.004444444444444443	0.0	0.0	0.0	1.0	0.0	1.0	0.0
3-Indolelactic Acid	Mx1	0.44421673013860674	0.27602622373694163	0.07619047619047616	0.0	0.0	0.0	1.0	0.0	2.2511533946233295	0.0
3-Indolelactic Acid	Egfl6	0.7020563949269414	0.13801311186847082	0.01904761904761904	0.0	0.0	0.0	1.0	0.0	1.4243869968652072	0.0
3-Indolelactic Acid	Slc5a5	0.6871736183096481	0.14907119849998599	0.022222222222222223	0.0	0.0	0.0	1.0	0.0	1.4552363090711506	0.0
3-Indolelactic Acid	Kcnn3	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
3-Indolelactic Acid	B9d1	0.22701614597813402	0.447213595499958	0.20000000000000004	0.0	0.0	0.0	1.0	0.0	4.404973028201788	0.0
3-Indolelactic Acid	N4bp3	0.82159514153281	0.08606629658238703	0.007407407407407405	0.0	0.0	0.0	1.0	0.0	1.2171444905751863	0.0
3-Indolelactic Acid	Ramp2	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
3-Indolelactic Acid	Gabrg1	0.7194444444444444	0.2	0.04000000000000001	0.0	0.0	0.0	1.0	0.0	1.38996138996139	0.0
3-Indolelactic Acid	Tubb6	0.6871736183096481	0.14907119849998599	0.022222222222222223	0.0	0.0	0.0	1.0	0.0	1.4552363090711506	0.0
3-Indolelactic Acid	Col1a1	1.0	-0.06666666666666665	0.004444444444444443	0.0	0.0	0.0	1.0	0.0	1.0	0.0
3-Indolelactic Acid	Tcea3	0.4987350353661216	0.25819888974716115	0.06666666666666668	0.0	0.0	0.0	1.0	0.0	2.0050726920876927	0.0
3-Indolelactic Acid	Smo	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
