index	count	name
0.0	102.0	Alpha Muricholic Acid
1.0	87.0	Beta Muricholic Acid
2.0	94.0	Chenodeoxycholic Acid
3.0	90.0	Cholic Acid
4.0	20.0	Deoxycholic Acid
5.0	0.0	Glycochenodeoxycholic Acid
6.0	0.0	Glycocholic Acid
7.0	107.0	Glycodeoxycholic Acid
8.0	115.0	Glycolithocholic Acid
9.0	4.0	Glycoursodeoxycholic Acid
10.0	159.0	Lithocholic Acid
11.0	109.0	Omega Muricholic Acid
12.0	152.0	Tauro Alpha Muricholic Acid
13.0	279.0	Tauro Beta Muricholic Acid
14.0	279.0	Taurochenodeoxycholic Acid
15.0	195.0	Taurocholic Acid
16.0	0.0	Taurodeoxycholic Acid
17.0	151.0	Taurolithocholic Acid
18.0	17.0	Tauroursodeoxycholic Acid
19.0	32.0	Ursodeoxycholic Acid
