index	count	name
0.0	2.0	Igsf5
1.0	16.0	Btbd17
2.0	12.0	Lck
3.0	6.0	1-Sep
4.0	11.0	Sez6
5.0	6.0	Tcf7
6.0	6.0	Dlg3
7.0	12.0	Vpreb3
8.0	9.0	Ramp2
9.0	8.0	Itgb7
10.0	12.0	Fndc5
11.0	11.0	Tubb6
12.0	9.0	Marveld3
13.0	10.0	Smo
14.0	19.0	Taco1
15.0	13.0	Gria3
16.0	3.0	Ppm1j
17.0	10.0	Kcnn1
18.0	9.0	Ccdc65
19.0	2.0	Lin7b
20.0	9.0	Col5a3
21.0	8.0	Utp20
22.0	9.0	Clec11a
23.0	8.0	Arhgef40
24.0	8.0	Nkg7
25.0	19.0	Chd5
26.0	4.0	Cd44
27.0	6.0	Pafah1b3
28.0	3.0	Adcy9
29.0	4.0	Apoa2
30.0	0.0	Sh2d1a
31.0	10.0	Kmt2b
32.0	4.0	Saal1
33.0	12.0	Fance
34.0	6.0	Ankrd26
35.0	2.0	Fzd3
36.0	4.0	Sardh
37.0	5.0	Mertk
38.0	5.0	Galns
39.0	13.0	Notch4
40.0	2.0	Serac1
41.0	9.0	Il17rb
42.0	9.0	E2f3
43.0	3.0	Cd34
44.0	17.0	Dyrk3
45.0	8.0	Cmah
46.0	5.0	Afmid
47.0	12.0	Etv4
48.0	19.0	Myo1c
49.0	8.0	Ikzf3
50.0	2.0	Shroom1
51.0	5.0	Cenpv
52.0	3.0	Dnase1l1
53.0	5.0	Arhgef25
54.0	15.0	Mgat4c
55.0	5.0	Lama2
56.0	4.0	Poc1b
57.0	6.0	Dusp6
58.0	21.0	Igf1
59.0	15.0	Fam241b
60.0	6.0	Lrig3
61.0	7.0	Egfr
62.0	5.0	Slc1a4
63.0	14.0	Slc36a1
64.0	9.0	Papolg
65.0	2.0	Adcy1
66.0	17.0	Tubd1
67.0	9.0	Myo19
68.0	13.0	Fam20a
69.0	8.0	Pomc
70.0	0.0	Grin2c
71.0	3.0	Pld2
72.0	5.0	Dhrs13
73.0	5.0	Lrrc46
74.0	13.0	Kat2a
75.0	9.0	Adam11
76.0	12.0	Net1
77.0	0.0	Vash1
78.0	9.0	Amph
79.0	4.0	Elovl2
80.0	1.0	Mtx3
81.0	22.0	Cenpk
82.0	3.0	4933413J09Rik
83.0	8.0	Rnase6
84.0	5.0	Atp8a2
85.0	19.0	Cacna2d3
86.0	17.0	Ajuba
87.0	10.0	Sema5a
88.0	10.0	Tbc1d31
89.0	3.0	Syngr1
90.0	3.0	Cd96
91.0	7.0	Mzt2
92.0	3.0	Sidt1
93.0	9.0	Igsf11
94.0	10.0	Mylk
95.0	9.0	Ece2
96.0	15.0	Cbr3
97.0	10.0	Slc11a2
98.0	8.0	Soat2
99.0	6.0	Abcc1
100.0	6.0	Tmem52
101.0	10.0	Frs3
102.0	15.0	Zfp605
103.0	4.0	Satb1
104.0	19.0	Cbs
105.0	17.0	Dnase1l2
106.0	12.0	Pigf
107.0	15.0	Mllt1
108.0	14.0	Epb41l4a
109.0	1.0	Srfbp1
110.0	5.0	Sac3d1
111.0	2.0	Tm7sf2
112.0	17.0	Papss2
113.0	3.0	Dgka
114.0	2.0	Baiap2
115.0	19.0	Pidd1
116.0	6.0	Dhtkd1
117.0	4.0	Mdh1b
118.0	10.0	Nrp2
119.0	8.0	Icos
120.0	8.0	Il18r1
121.0	1.0	Il1r1
122.0	6.0	Mitd1
123.0	5.0	Fam135a
124.0	13.0	Sp100
125.0	10.0	Slc35f5
126.0	11.0	Steap3
127.0	15.0	Rgs7
128.0	6.0	Sell
129.0	20.0	Dclre1c
130.0	19.0	Lrsam1
131.0	11.0	Dolpp1
132.0	12.0	Cutal
133.0	14.0	Agpat2
134.0	1.0	Card9
135.0	8.0	Ube2l6
136.0	13.0	Traf6
137.0	8.0	Slc28a2
138.0	14.0	Chst1
139.0	20.0	Rasgrp1
140.0	7.0	Il1a
141.0	7.0	Cst3
142.0	6.0	Necab3
143.0	2.0	Sla2
144.0	15.0	Lrrc34
145.0	3.0	Kcnab1
146.0	10.0	Vangl1
147.0	8.0	Cd2
148.0	13.0	Tmem144
149.0	8.0	Prss12
150.0	10.0	Adgrl2
151.0	9.0	Ddah1
152.0	14.0	Tnfsf8
153.0	9.0	Dab1
154.0	14.0	Extl1
155.0	9.0	Rcc1
156.0	12.0	Mmp23
157.0	14.0	Guf1
158.0	15.0	Gabra4
159.0	9.0	Gpat3
160.0	7.0	Dck
161.0	7.0	Acad10
162.0	7.0	Tspan12
163.0	2.0	Auts2
164.0	18.0	Plxna4
165.0	4.0	Sspo
166.0	2.0	Rab19
167.0	8.0	Klrk1
168.0	4.0	Klrc1
169.0	7.0	Klra13-ps
170.0	10.0	Dusp16
171.0	4.0	Ptpro
172.0	4.0	Cpne9
173.0	1.0	Qpctl
174.0	15.0	Zfp583
175.0	6.0	Rab30
176.0	4.0	Syt3
177.0	7.0	Lat
178.0	9.0	Dkk3
179.0	2.0	Stx1b
180.0	4.0	Itgal
181.0	17.0	Lhpp
182.0	8.0	Sash3
183.0	1.0	Cd40lg
184.0	19.0	Vegfd
185.0	19.0	Angpt2
186.0	2.0	Slc25a15
187.0	4.0	Arhgef7
188.0	5.0	Il15
189.0	14.0	Phlpp2
190.0	10.0	Adgrg1
191.0	5.0	Pla2g15
192.0	12.0	Panx1
193.0	9.0	Cadm1
194.0	13.0	Cd3e
195.0	9.0	Rasgrf1
196.0	6.0	Lrrc2
197.0	2.0	Ttc21a
198.0	3.0	Klra9
199.0	11.0	Rnf125
200.0	12.0	Zfp7
201.0	19.0	Jcad
202.0	13.0	Tldc1
203.0	7.0	Faah
204.0	3.0	Batf
205.0	1.0	Gbp8
206.0	18.0	Gjc1
207.0	8.0	Chst11
208.0	5.0	Dusp5
209.0	1.0	Cpne7
210.0	14.0	Lbx2
211.0	6.0	Ccl5
212.0	6.0	Adrb1
213.0	2.0	Ccl7
214.0	13.0	Midn
215.0	7.0	Plppr3
216.0	3.0	Ripor2
217.0	9.0	Slitrk2
218.0	6.0	Zcwpw1
219.0	10.0	Grhl3
220.0	9.0	Zfyve28
221.0	6.0	Fgf2
222.0	2.0	Stag1
223.0	17.0	Adgrl3
224.0	5.0	Atp8a1
225.0	8.0	Fdxacb1
226.0	0.0	Ccr7
227.0	19.0	Rnf144b
228.0	10.0	Cdkn2aip
229.0	8.0	Ncapd2
230.0	9.0	Galnt18
231.0	10.0	Sbf2
232.0	9.0	Gpr162
233.0	3.0	Poli
234.0	3.0	Zfp503
235.0	6.0	Hexdc
236.0	8.0	Alkbh4
237.0	8.0	Gabbr2
238.0	14.0	Mcph1
239.0	4.0	Trim14
240.0	19.0	Ndp
241.0	8.0	Tbc1d10c
242.0	8.0	Zfp770
243.0	9.0	Gemin8
244.0	2.0	Ramp3
245.0	9.0	Nbl1
246.0	5.0	Arhgap32
247.0	3.0	Serpina3g
248.0	10.0	Sdk2
249.0	11.0	Kctd12b
250.0	7.0	Alg13
251.0	12.0	Slc24a4
252.0	7.0	Bag2
253.0	3.0	Ubash3a
254.0	8.0	Grap2
255.0	16.0	Npl
256.0	6.0	Stn1
257.0	11.0	Exog
258.0	8.0	Qrfp
259.0	11.0	Gimap5
260.0	13.0	Setx
261.0	12.0	Gimap7
262.0	13.0	Nhlrc1
263.0	0.0	Ctla2a
264.0	9.0	Gpr4
265.0	4.0	A730020M07Rik
266.0	11.0	Magi1
267.0	4.0	Fndc7
268.0	6.0	Tnfrsf26
269.0	12.0	Tmem88
270.0	4.0	Col27a1
271.0	10.0	Kcnk6
272.0	3.0	Fam46b
273.0	5.0	Fam83h
274.0	12.0	4930432E11Rik
275.0	6.0	Tmem198b
276.0	9.0	2810006K23Rik
277.0	8.0	Gimap6
278.0	9.0	Kcna3
279.0	4.0	Entpd1
280.0	3.0	Bend7
281.0	8.0	A630023P12Rik
282.0	7.0	F2r
283.0	17.0	Cdk5r1
284.0	5.0	Ppp1r3d
285.0	11.0	Agmo
286.0	8.0	Klre1
287.0	13.0	Evc2
288.0	5.0	Fam78a
289.0	8.0	Zfp831
290.0	6.0	Gdpgp1
291.0	10.0	Zfp46
292.0	9.0	Plpp7
293.0	5.0	Senp8
294.0	13.0	Rinl
295.0	6.0	Prdm9
296.0	19.0	Btla
297.0	11.0	Mpp3
298.0	9.0	Robo2
299.0	9.0	Zfp952
300.0	3.0	Zfp472
301.0	2.0	Iigp1
302.0	4.0	Rhob
303.0	3.0	Gimap4
304.0	13.0	Trim65
305.0	5.0	Zfp867
306.0	11.0	Smim10l2a
307.0	6.0	Zkscan4
308.0	5.0	H2-Q5
309.0	3.0	Lair1
310.0	20.0	Abcd2
311.0	4.0	Ms4a4b
312.0	9.0	Actr3b
313.0	3.0	Skap1
314.0	12.0	Armc7
315.0	7.0	Zfp53
316.0	9.0	Ankrd29
317.0	14.0	Espl1
318.0	17.0	Ntrk3
319.0	1.0	AU019823
320.0	7.0	Pyroxd2
321.0	4.0	H2-Eb1
322.0	6.0	Acvr2b
323.0	19.0	Rufy4
324.0	6.0	Rcc1l
325.0	4.0	Zfp28
326.0	2.0	Hcst
327.0	8.0	Gimap8
328.0	9.0	Gm22574
329.0	5.0	Zbtb6
330.0	4.0	Zfp810
331.0	5.0	Zfp120
332.0	1.0	Il2rb
333.0	11.0	Ptprz1
334.0	5.0	Zfp874a
335.0	8.0	Marcks
336.0	2.0	Sco1
337.0	5.0	Hba-a1
338.0	9.0	Gpr179
339.0	19.0	Zswim9
340.0	1.0	Treml2
341.0	1.0	Ccdc78
342.0	4.0	Naip5
343.0	22.0	Zfp783
344.0	18.0	2310040G07Rik
345.0	3.0	Gm12258
346.0	8.0	Hbb-bt
347.0	3.0	Zfp568
348.0	6.0	C5ar2
349.0	18.0	Fat3
350.0	8.0	Ifit3
351.0	15.0	Ccdc58
352.0	6.0	Carns1
353.0	12.0	Trbv13-2
354.0	1.0	Trbc1
355.0	10.0	Trbj2-1
356.0	6.0	Trbc2
357.0	5.0	Trgv2
358.0	9.0	Traj20
359.0	12.0	Traj18
360.0	12.0	Trac
361.0	5.0	Chml
362.0	10.0	D030028A08Rik
363.0	12.0	Tmem8b
364.0	2.0	2610203C22Rik
365.0	10.0	Gm15928
366.0	2.0	Gm12250
367.0	8.0	Gm12808
368.0	9.0	C630043F03Rik
369.0	4.0	Gm14011
370.0	1.0	Gm13684
371.0	13.0	4921531C22Rik
372.0	9.0	Lrrc75aos2
373.0	10.0	AW822252
374.0	2.0	Plxna4os2
375.0	10.0	E130102H24Rik
376.0	12.0	Gm11579
377.0	5.0	Plcxd2
378.0	19.0	AW495222
379.0	7.0	0610043K17Rik
380.0	9.0	Ier5l
381.0	6.0	Gimap1
382.0	17.0	Kcne1l
383.0	4.0	Olfr287
384.0	10.0	1700071M16Rik
385.0	4.0	Gm17271
386.0	18.0	Tcerg1l
387.0	10.0	Gcnt4
388.0	9.0	Rd3l
389.0	18.0	Gm25082
390.0	2.0	Trbv12-2
391.0	4.0	Trbd2
392.0	1.0	-7.854893067000001
393.0	13.0	9330159M07Rik
394.0	5.0	Gm26549
395.0	2.0	4930532G15Rik
396.0	19.0	Gm17276
397.0	19.0	Gm10516
398.0	7.0	E030030I06Rik
399.0	12.0	Gm26873
400.0	5.0	Gm26669
401.0	5.0	Gm6277
402.0	19.0	Jpx
403.0	8.0	D930030I03Rik
404.0	10.0	Snhg4
405.0	5.0	Gm26711
406.0	9.0	2810039B14Rik
407.0	3.0	BE692007
408.0	6.0	2810402E24Rik
409.0	15.0	A730094K22Rik
410.0	11.0	5830444F18Rik
411.0	16.0	Gm7694
412.0	1.0	Gm38111
413.0	5.0	Gm38158
414.0	7.0	6820402A03Rik
415.0	5.0	Gm37606
416.0	12.0	Tigd5
417.0	12.0	Gm38244
418.0	7.0	Gm37254
