index	count	name
0.0	28.0	Alpha Muricholic Acid
1.0	1.0	Beta Muricholic Acid
2.0	1.0	Chenodeoxycholic Acid
3.0	1.0	Cholic Acid
4.0	19.0	Deoxycholic Acid
5.0	0.0	Glycochenodeoxycholic Acid
6.0	0.0	Glycocholic Acid
7.0	6.0	Glycodeoxycholic Acid
8.0	91.0	Glycolithocholic Acid
9.0	9.0	Glycoursodeoxycholic Acid
10.0	80.0	Lithocholic Acid
11.0	25.0	Omega Muricholic Acid
12.0	2.0	Tauro Alpha Muricholic Acid
13.0	2.0	Tauro Beta Muricholic Acid
14.0	1.0	Taurochenodeoxycholic Acid
15.0	56.0	Taurocholic Acid
16.0	87.0	Taurodeoxycholic Acid
17.0	100.0	Taurolithocholic Acid
18.0	91.0	Tauroursodeoxycholic Acid
19.0	3.0	Ursodeoxycholic Acid
